Description ,Score
says bet,1
drinks iced coffee in winter,2
drinkes iced coffee,1
Has bumper stickers ,2
Vegan,4
Shoe obsession,4
afraid of cats,4
"Doesn't like ""ethnic food""",3
NEEDS to be little spoon,4
NEEDS to be big spoon,4
figurine collection,3
can't keep living thing alive,2
