Description ,Score
Red Flag Majors,3
Red flag jobs,3
NEET,6
dead end job,2
no aspirations,4
"self proclaimed ""Entreprenuer""",3
Active Participant in Honors Society,2
Illegal aspirations,4
Academic integrity (NARC),1
ROTC/Military Bro,4
