Description ,Score
can't tolerate disagreement,5
too agreeable,4
can't control anger,6
no empathy,6
can't identify emotions,3
appropriate emotional response,3
not active listener,3
doesn't think  before he acts,2
Needs to always be right,4
emotionally unavailable,2
makes everything about themselves,3
can't take compliment,1
can't read mind,1
